date,oil_rate
2020-01-01,1012.0413726675783
2020-01-02,1022.9694028883252
2020-01-03,975.1638281906678
2020-01-04,1002.3733165846575
2020-01-05,991.5896114540313
2020-01-06,1003.1666102945869
2020-01-07,1008.492981468519
2020-01-08,991.6074146811326
2020-01-09,994.7307150259685
2020-01-10,969.4298116797729
2020-01-11,979.4878122006957
2020-01-12,956.6336152830074
2020-01-13,1039.6055630958183
2020-01-14,964.319777674221
2020-01-15,975.531983234615
2020-01-16,972.0208174305816
2020-01-17,937.1623958111336
2020-01-18,0.0
2020-01-19,973.0528237768234
2020-01-20,964.2253066491047
2020-01-21,1013.5142579511961
2020-01-22,956.1559224582446
2020-01-23,969.2836852102824
2020-01-24,969.9968852143681
2020-01-25,945.0783702748068
2020-01-26,942.9774833523304
2020-01-27,992.9443808092882
2020-01-28,913.9845123448006
2020-01-29,987.3095786286234
2020-01-30,947.5856011648102
2020-01-31,959.6692994362104
2020-02-01,919.6571555382841
2020-02-02,959.2907956764535
2020-02-03,944.4253191546728
2020-02-04,903.8957873516154
2020-02-05,942.1420887676096
2020-02-06,921.0770827442669
2020-02-07,957.5686417764874
2020-02-08,950.391987984726
2020-02-09,960.0350812151765
2020-02-10,925.1664469676149
2020-02-11,921.6683162295568
2020-02-12,920.2557985724062
2020-02-13,950.7557802979313
2020-02-14,918.521418743807
2020-02-15,973.0264696476219
2020-02-16,902.3039334482515
2020-02-17,932.1882912140442
2020-02-18,943.9942817380869
2020-02-19,928.6431509540081
2020-02-20,922.4379899025237
2020-02-21,913.847802229547
2020-02-22,974.935918165487
2020-02-23,932.9455838772864
2020-02-24,906.3890824534163
2020-02-25,935.2992729132699
2020-02-26,900.4333232026981
2020-02-27,898.7710117882095
2020-02-28,906.0160357356511
2020-02-29,899.3528893373137
2020-03-01,933.4907645850712
2020-03-02,889.6939781041921
2020-03-03,929.4639573455173
2020-03-04,930.731414405007
2020-03-05,914.7330584416027
2020-03-06,925.0197221453179
2020-03-07,916.6207830787747
2020-03-08,944.7742891518106
2020-03-09,907.5409079447907
2020-03-10,893.511564541599
2020-03-11,861.6137543432517
2020-03-12,874.2014248582828
2020-03-13,898.3265712286413
2020-03-14,889.5485103276259
2020-03-15,876.4395964396538
2020-03-16,928.9662749125822
2020-03-17,886.5949109518415
2020-03-18,900.994991074837
2020-03-19,900.9749610576226
2020-03-20,891.8519430418412
2020-03-21,899.8802210521808
2020-03-22,868.350233147624
2020-03-23,0.0
2020-03-24,926.3462123130724
2020-03-25,893.4629552830767
2020-03-26,887.1787762858266
2020-03-27,0.0
2020-03-28,908.9573263141507
2020-03-29,853.3435502833703
2020-03-30,902.1862831059543
2020-03-31,861.6552272186265
2020-04-01,863.7596025427442
2020-04-02,843.8401539118353
2020-04-03,869.9350245426654
2020-04-04,853.6337903937102
2020-04-05,830.5301361655918
2020-04-06,858.6247154257937
2020-04-07,862.74509795367
2020-04-08,835.8060233844558
2020-04-09,841.1781908887178
2020-04-10,0.0
2020-04-11,842.5607441716227
2020-04-12,886.3183665310124
2020-04-13,874.3390572057335
2020-04-14,863.2535888692477
2020-04-15,847.4827898648496
2020-04-16,874.1550557756443
2020-04-17,876.3790508311927
2020-04-18,0.0
2020-04-19,874.0346044564141
2020-04-20,863.3755954892642
2020-04-21,861.7288221993763
2020-04-22,877.6401453433253
2020-04-23,827.9437449267951
2020-04-24,829.0610242453776
2020-04-25,851.2588976939003
2020-04-26,827.4382527138514
2020-04-27,825.5032904528518
2020-04-28,850.2583082284341
2020-04-29,823.7823865960861
2020-04-30,860.6164908658473
2020-05-01,861.0077494659753
2020-05-02,860.1132068257036
2020-05-03,869.2907189900285
2020-05-04,804.6672230775868
2020-05-05,815.828475401984
2020-05-06,840.869466189254
2020-05-07,838.6443240218427
2020-05-08,852.686390542677
2020-05-09,830.51448955345
2020-05-10,827.6432387825026
2020-05-11,812.9464491450574
2020-05-12,813.3951212848035
2020-05-13,870.2132381324666
2020-05-14,859.4295385360022
2020-05-15,845.8307984129524
2020-05-16,805.4438795603751
2020-05-17,789.4181527468927
2020-05-18,803.1865986068897
2020-05-19,800.6473931640953
2020-05-20,837.2543098628287
2020-05-21,818.4091900131787
2020-05-22,805.5297011705993
2020-05-23,796.2937997016842
2020-05-24,819.7141775876892
2020-05-25,808.0065413407384
2020-05-26,806.2075117369267
2020-05-27,777.7227616606729
2020-05-28,774.431458989146
2020-05-29,784.2836392029355
2020-05-30,0.0
2020-05-31,776.8542976795085
2020-06-01,773.3240746715114
2020-06-02,816.3109844140854
2020-06-03,798.4969911788434
2020-06-04,771.6648883808595
2020-06-05,782.4092969544203
2020-06-06,780.5717816301554
2020-06-07,780.7672705693298
2020-06-08,788.3922890687558
2020-06-09,787.9241733871646
2020-06-10,779.919205126511
2020-06-11,763.3472193902485
2020-06-12,774.6731293444968
2020-06-13,790.3612600080892
2020-06-14,793.0950242731153
2020-06-15,763.4616143835142
2020-06-16,739.5474564005735
2020-06-17,786.6433368845668
2020-06-18,749.6940592717094
2020-06-19,792.5115268111531
2020-06-20,795.3841579581859
2020-06-21,782.2421094962317
2020-06-22,762.0766863898099
2020-06-23,792.1882792050299
2020-06-24,780.2383566003191
2020-06-25,728.2046403560995
2020-06-26,0.0
2020-06-27,770.3791849811275
2020-06-28,782.2499659419774
2020-06-29,767.3213203710313
2020-06-30,754.1375694672472
2020-07-01,766.4689425050124
2020-07-02,753.7419629948912
2020-07-03,756.9970019405948
2020-07-04,743.0496293490474
2020-07-05,746.8037235412977
2020-07-06,768.6519185218939
2020-07-07,727.359485088963
2020-07-08,757.9469941745439
2020-07-09,751.249757965875
2020-07-10,758.6041150362263
2020-07-11,745.2335894091146
2020-07-12,750.4481514942559
2020-07-13,720.8237905061817
2020-07-14,746.0881715236275
2020-07-15,767.9049691468665
2020-07-16,708.6566109700613
2020-07-17,722.37972099408
2020-07-18,714.5474641784072
2020-07-19,773.4288866789656
2020-07-20,756.6994409578068
2020-07-21,724.4330686529411
2020-07-22,727.9517085264006
2020-07-23,755.5492080295337
2020-07-24,740.0391939923562
2020-07-25,735.3117815386983
2020-07-26,760.052279218363
2020-07-27,741.300039545674
2020-07-28,746.8126407109073
2020-07-29,732.7017790776307
2020-07-30,737.7377633561226
2020-07-31,745.4111636877773
2020-08-01,729.4648515615655
2020-08-02,746.5575220821444
2020-08-03,736.6447205635525
2020-08-04,721.8216908240122
2020-08-05,720.9977071371347
2020-08-06,746.1049967848189
2020-08-07,708.4903057036225
2020-08-08,725.6722997752397
2020-08-09,698.285324959983
2020-08-10,740.8355215237442
2020-08-11,727.260807653448
2020-08-12,702.8524514675454
2020-08-13,704.8393063221941
2020-08-14,730.9653014815974
2020-08-15,728.5969360854308
2020-08-16,716.3772431302104
2020-08-17,707.268510030017
2020-08-18,729.0534597109179
2020-08-19,707.8208300435798
2020-08-20,0.0
2020-08-21,688.0552410220702
2020-08-22,719.860452814528
2020-08-23,704.9959170931867
2020-08-24,695.894795270675
2020-08-25,690.0240749968024
2020-08-26,687.6407963252665
2020-08-27,718.5003981980433
2020-08-28,704.1951607983001
2020-08-29,720.4441000281566
2020-08-30,689.5117771666286
2020-08-31,715.1593459764704
2020-09-01,725.2896705279953
2020-09-02,669.8168195172632
2020-09-03,710.5738422835091
2020-09-04,717.6139129323691
2020-09-05,637.9020421275808
2020-09-06,689.8280299847496
2020-09-07,649.5823320483001
2020-09-08,690.0312666955043
2020-09-09,681.5948129065895
2020-09-10,685.6292832882418
2020-09-11,681.5477632483278
2020-09-12,677.0786488261405
2020-09-13,668.9532606406959
2020-09-14,724.2653436367946
2020-09-15,695.6923291111843
2020-09-16,686.0460755606588
2020-09-17,643.3775015405566
2020-09-18,718.8998157615987
2020-09-19,664.1656325115978
2020-09-20,0.0
2020-09-21,671.0060393170199
2020-09-22,688.2683430750822
2020-09-23,696.3655845070697
2020-09-24,645.3657990309184
2020-09-25,674.3471321630522
2020-09-26,698.9050865678018
2020-09-27,649.2193886502264
2020-09-28,674.99999126166
2020-09-29,609.742696783122
2020-09-30,667.1666773460948
2020-10-01,635.7046925666904
2020-10-02,707.9192036327389
2020-10-03,648.9758913420076
2020-10-04,657.8439490825253
2020-10-05,660.3175523528148
2020-10-06,670.6845992213113
2020-10-07,672.2886617197946
2020-10-08,646.0553110195357
2020-10-09,651.6051983599792
2020-10-10,0.0
2020-10-11,639.4149177853243
2020-10-12,0.0
2020-10-13,639.8226292920057
2020-10-14,661.8105210303867
2020-10-15,664.8844812156358
2020-10-16,641.0271107442429
2020-10-17,637.3400835559252
2020-10-18,631.574996868421
2020-10-19,688.7893134519522
2020-10-20,643.6338708726153
2020-10-21,617.331983938533
2020-10-22,642.1441017012028
2020-10-23,653.3175963469668
2020-10-24,616.432052265731
2020-10-25,627.4620692524403
2020-10-26,612.2217112455753
2020-10-27,649.7490059333009
2020-10-28,644.2094068784972
2020-10-29,604.3917379850867
2020-10-30,645.8445197277845
2020-10-31,659.1945680393413
2020-11-01,615.8301614179412
2020-11-02,627.8856022563957
2020-11-03,639.5521061615648
2020-11-04,587.0058129657722
2020-11-05,614.2076600433826
2020-11-06,654.6285870351768
2020-11-07,620.0591984808966
2020-11-08,604.0388866777253
2020-11-09,655.8466254463002
2020-11-10,0.0
2020-11-11,0.0
2020-11-12,610.0809703990988
2020-11-13,640.6327328250818
2020-11-14,628.9614947224053
2020-11-15,621.5759803051232
2020-11-16,0.0
2020-11-17,588.9991652129153
2020-11-18,650.4383021523082
2020-11-19,637.7611920855911
2020-11-20,621.3181469842557
2020-11-21,622.2505911831626
2020-11-22,609.5946469883987
2020-11-23,617.6269566340814
2020-11-24,602.6723957774209
2020-11-25,613.2994970633877
2020-11-26,598.1925853005474
2020-11-27,0.0
2020-11-28,600.8851390502341
2020-11-29,625.4728721675378
2020-11-30,598.9356487096421
2020-12-01,615.8261312417536
2020-12-02,604.8849896477589
2020-12-03,609.0180732632396
2020-12-04,598.3908635522747
